Annex II, Sec III - Allergenic Fragrances Banned/Restricted in Toys
"beta-Santalol"	"201-027-2"	"77-42-9"	"Any toys"	"77-42-9"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"beta-Santalol"	""	""	
"Camphor"	"200-945-0"	"76-22-2"	"Any toys"	"76-22-2"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Camphor"	""	""	
"Cananga odorata oil;Ylang-ylang oil"	"281-092-1"	"8006-81-3;83863-30-3"	"Any toys"	"83863-30-3"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Cananga odorata oil"	""	""	
"Carvone"	"202-759-5"	"99-49-0"	"Any toys"	"99-49-0"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Carvone"	""	""	
"Cedrus atlantica, ext."	"295-985-9"	"92201-55-3"	"Any toys"	"92201-55-3"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Cedrus atlantica, ext."	""	""	
"Chenopodium oil"	"-"	"8006-99-3"	"Any toys"	"8006-99-3"	""	"Chenopodium oil"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kg"	
"Cinnamal"	"203-213-9"	"104-55-2"	"Any toys except olfactory board games, cosmetic kits and gustative games"	"104-55-2"	""	"Cinnamal"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kgSee point 12 of Part III on Chemical Properties to Annex II of Directive 2009/48/EC for specific conditions of use in olfactory board games, cosmetic kits and gustative games"	
"Cinnamomum zeylanicum bark oil"	"283-479-0"	"84649-98-9"	"Any toys"	"84649-98-9"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Cinnamomum zeylanicum bark oil"	""	""	
"Cinnamyl alcohol"	"203-212-3"	"104-54-1"	"Any toys except olfactory board games, cosmetic kits and gustative games"	"104-54-1"	""	"Cinnamyl alcohol"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kgSee point 12 of Part III on Chemical Properties to Annex II of Directive 2009/48/EC for specific conditions of use in olfactory board games, cosmetic kits and gustative games"	
"cis-beta-Damascone"	"245-843-7"	"23726-92-3"	"Any toys"	"23726-92-3"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"cis-beta-Damascone"	""	""	
"Citral"	"226-394-6"	"5392-40-5"	"Any toys except olfactory board games, cosmetic kits and gustative games"	"5392-40-5"	""	"Citral"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kgSee point 12 of Part III on Chemical Properties to Annex II of Directive 2009/48/EC for specific conditions of use in olfactory board games, cosmetic kits and gustative games"	
"Citronellol"	"203-375-0"	"106-22-9"	"Any toys except olfactory board games, cosmetic kits and gustative games"	"106-22-9"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Citronellol"	""	"See point 12 of Part III on Chemical Properties to Annex II of Directive 2009/48/EC for specific conditions of use in olfactory board games, cosmetic kits and gustative games"	
"Citrus aurantium amara flower oil;Citrus aurantium amara peel oil"	"277-143-2"	"72968-50-4;8016-38-4"	"Any toys"	"72968-50-4"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Citrus aurantium amara peel oil"	""	""	
"Citrus Aurantium dulcis peel oil expressed;Citrus sinensis peel oil expressed"	"232-433-8"	"8028-48-6"	"Any toys"	"8028-48-6"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Citrus sinensis peel oil expressedCitrus Aurantium dulcis peel oil expressed"	""	""	
"Citrus Aurantium dulcis peel oil expressed;Citrus sinensis peel oil expressed"	"307-891-8"	"97766-30-8"	"Any toys"	"97766-30-8"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Citrus sinensis peel oil expressedCitrus Aurantium dulcis peel oil expressed"	""	""	
"Citrus bergamia peel oil expressed"	"289-612-9"	"89957-91-5"	"Any toys"	"89957-91-5"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Citrus bergamia peel oil expressed"	""	""	
"Citrus limonum peel oil expressed"	"284-515-8"	"84929-31-7"	"Any toys"	"84929-31-7"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Citrus limonum peel oil expressed"	""	""	
"Costus root oil (Saussurea lappa Clarke)"	"639-571-1"	"8023-88-9"	"Any toys"	"8023-88-9"	""	"Costus root oil (Saussurea lappa Clarke)"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kg"	
"Coumarin"	"202-086-7"	"91-64-5"	"Any toys except olfactory board games, cosmetic kits and gustative games"	"91-64-5"	""	"Coumarin"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kgSee point 12 of Part III on Chemical Properties to Annex II of Directive 2009/48/EC for specific conditions of use in olfactory board games, cosmetic kits and gustative games"	
"Cyclamen alcohol"	"225-289-2"	"4756-19-8"	"Any toys"	"4756-19-8"	""	"Cyclamen alcohol"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kg"	
"Cymbopogon citratus extract;Cymbopogon schoenanthus extract;Cymbopogon schoenanthus oil"	"289-752-0"	"8007-02-1;89998-14-1;89998-16-3"	"Any toys"	"89998-14-1"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Cymbopogon citratus extract"	""	""	
"Cymbopogon schoenanthus, ext."	"289-754-1"	"89998-16-3"	"Any toys"	"89998-16-3"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Cymbopogon schoenanthus extract"	""	""	
"D-Carvone"	"218-827-2"	"2244-16-8"	"Any toys"	"2244-16-8"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"D-Carvone"	""	""	
"D-Citronellol"	"214-250-5"	"1117-61-9"	"Any toys except olfactory board games, cosmetic kits and gustative games"	"1117-61-9"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"D-Citronellol"	""	"See point 12 of Part III on Chemical Properties to Annex II of Directive 2009/48/EC for specific conditions of use in olfactory board games, cosmetic kits and gustative games"	
"d-Limonene"	"227-813-5"	"5989-27-5"	"Any toys except olfactory board games, cosmetic kits and gustative games"	"5989-27-5"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"d-Limonene"	""	"See point 12 of Part III on Chemical Properties to Annex II of Directive 2009/48/EC for specific conditions of use in olfactory board games, cosmetic kits and gustative games"	
"Damascenone;Rose ketone-4"	"245-833-2"	"23696-85-7"	"Any toys"	"23696-85-7"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Rose ketone-4Damascenone"	""	""	
"delta-Damascone"	"260-709-8"	"57378-68-4"	"Any toys"	"57378-68-4"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"delta-Damascone"	""	""	
"Diethyl maleate"	"205-451-9"	"141-05-9"	"Any toys"	"141-05-9"	""	"Diethyl maleate"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kg"	
"Dihydrocoumarin"	"204-354-9"	"119-84-6"	"Any toys"	"119-84-6"	""	"Dihydrocoumarin"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kg"	
"Dimethyl citraconate"	"-"	"617-54-9"	"Any toys"	"617-54-9"	""	"Dimethyl citraconate"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kg"	
"Diphenylamine"	"204-539-4"	"122-39-4"	"Any toys"	"122-39-4"	""	"Diphenylamine"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kg"	
"DMBCA;Dimethylbenzyl carbinyl acetate"	"205-781-3"	"151-05-3"	"Any toys"	"151-05-3"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Dimethylbenzyl carbinyl acetateDMBCA"	""	""	
"Essential oil of Citrus aurantium var. amara or Bigaradia (Rutaceae) obtained from the flowers by steam distillation"	"639-655-8"	"8016-38-4"	"Any toys"	"8016-38-4"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Citrus aurantium amara flower oil"	""	""	
"Ethyl acrylate"	"205-438-8"	"140-88-5"	"Any toys"	"140-88-5"	""	"Ethyl acrylate"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kg"	
"Eucalyptus globulus oil"	"616-775-9"	"8000-48-4"	"Any toys"	"8000-48-4"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Eucalyptus spp. leaf oil"	""	""	
"Eucalyptus spp. leaf extract"	"296-357-7"	"92502-70-0"	"Any toys"	"92502-70-0"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Eucalyptus spp. leaf extract"	""	""	
"Eugenia caryophyllus leaf/flower oil"	"616-772-2"	"8000-34-8"	"Any toys"	"8000-34-8"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Eugenia caryophyllus leaf/flower oil"	""	""	
"Eugenol"	"202-589-1"	"97-53-0"	"Any toys except olfactory board games, cosmetic kits and gustative games"	"97-53-0"	""	"Eugenol"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kgSee point 12 of Part III on Chemical Properties to Annex II of Directive 2009/48/EC for specific conditions of use in olfactory board games, cosmetic kits and gustative games"	
"Farnesol"	"225-004-1"	"4602-84-0"	"Any toys except olfactory board games, cosmetic kits and gustative games"	"4602-84-0"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Farnesol"	""	"See point 12 of Part III on Chemical Properties to Annex II of Directive 2009/48/EC for specific conditions of use in olfactory board games, cosmetic kits and gustative games"	
"Fig leaf, fresh and preparations"	"639-678-3"	"68916-52-9"	"Any toys"	"68916-52-9"	""	"Fig leaf, fresh and preparations"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kg"	
"Geraniol"	"203-377-1"	"106-24-1"	"Any toys except olfactory board games, cosmetic kits and gustative games"	"106-24-1"	""	"Geraniol"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kgSee point 12 of Part III on Chemical Properties to Annex II of Directive 2009/48/EC for specific conditions of use in olfactory board games, cosmetic kits and gustative games"	
"Geranium oil"	"616-774-3"	"8000-46-2"	"Any toys"	"8000-46-2"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Pelargonium graveolens oil"	""	""	
"Hexadecanolactone"	"203-662-0"	"109-29-5"	"Any toys"	"109-29-5"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Hexadecanolactone"	""	""	
"Hexahydrocoumarin"	"211-851-4"	"700-82-3"	"Any toys"	"700-82-3"	""	"Hexahydrocoumarin"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kg"	
"Hexamethylindanopyran"	"214-946-9"	"1222-05-5"	"Any toys"	"1222-05-5"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Hexamethylindanopyran"	""	""	
"Hexyl cinnamaldehyde"	"202-983-3"	"101-86-0"	"Any toys except olfactory board games, cosmetic kits and gustative games"	"101-86-0"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Hexyl cinnamaldehyde"	""	"See point 12 of Part III on Chemical Properties to Annex II of Directive 2009/48/EC for specific conditions of use in olfactory board games, cosmetic kits and gustative games"	
"Hydroabietyl alcohol"	"236-476-3"	"13393-93-6"	"Any toys"	"13393-93-6"	""	"Hydroabietyl alcohol"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kg"	
"Hydroxy-citronellal"	"203-518-7"	"107-75-5"	"Any toys except olfactory board games, cosmetic kits and gustative games"	"107-75-5"	""	"Hydroxy-citronellal"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kgSee point 12 of Part III on Chemical Properties to Annex II of Directive 2009/48/EC for specific conditions of use in olfactory board games, cosmetic kits and gustative games"	
"Hydroxy-methylpentylcyclohexenecarboxaldehyde"	"250-863-4"	"31906-04-4"	"Any toys except olfactory board games, cosmetic kits and gustative games"	"31906-04-4"	""	"Hydroxy-methylpentylcyclohexenecarboxaldehyde"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kgSee point 12 of Part III on Chemical Properties to Annex II of Directive 2009/48/EC for specific conditions of use in olfactory board games, cosmetic kits and gustative games"	
"Isoeugenol"	"202-590-7"	"97-54-1"	"Any toys except olfactory board games, cosmetic kits and gustative games"	"97-54-1"	""	"Isoeugenol"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kgSee point 12 of Part III on Chemical Properties to Annex II of Directive 2009/48/EC for specific conditions of use in olfactory board games, cosmetic kits and gustative games"	
"Jasmin oil;Jasmin, Jasminum grandiflorum extract"	"283-993-5"	"8022-96-6;84776-64-7"	"Any toys"	"84776-64-7"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Jasmin, Jasminum grandiflorum extract"	""	""	
