Cosmetic Products Regulation, Annex IV - Allowed Colorants
"Benzenesulfonic acid, 2,2'-(1,2-ethenediyl)bis[5-nitro-, disodium salt, reaction products with 4-[(4-aminophenyl)azo] benzenesulfonic acid, sodium salts"	"215-397-8"	"1325-54-8"	"54"	"Benzenesulfonic acid, 2,2&#39;-(1,2-ethenediyl)bis[5-nitro-, disodium salt, reaction products with 4-[(4-aminophenyl)azo] benzenesulfonic acid, sodium salts"	""	"1325-54-8"	"40215"	"Orange"	""	"Rinse-off products"	""	""	""	"Colorant"	""	
"beta Carotene"	"230-636-6"	"7235-40-7"	"55"	"beta Carotene"	"230-636-6"	"7235-40-7"	"40800"	"Orange"	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 160a)"	""	""	"Colorant"	""	
"Bisbenzimidazo[2,1-b:2',1'-i]benzo[lmn][3,8]phenanthroline-8,17-dione"	"224-597-4"	"4424-06-0"	"97"	"Bisbenzimidazo[2,1-b:2&#39;,1&#39;-i]benzo[lmn][3,8]phenanthroline-8,17-dione"	""	"4424-06-0"	"71105"	"Orange"	""	"All cosmetic products except those applied to mucous membranes"	"Not to be used in products applied to mucous membranes"	""	""	"Colorant"	""	
"Bismuth chloride oxide"	"232-122-7"	"7787-59-9"	"123"	"Bismuth chloride oxide"	""	"7787-59-9"	"77163"	"White"	""	"All cosmetic products"	""	""	""	"Colorant"	""	
"Calcium 3-hydroxy-4-[(1-sulphonato-2-naphthyl)azo]-2-naphthoate"	"229-142-3"	"6417-83-0"	"29"	"Calcium 3-hydroxy-4-[(1-sulphonato-2-naphthyl)azo]-2-naphthoate"	""	"6417-83-0"	"15880"	"Red"	""	"All cosmetic products except when used as a substance in hair dye products"	""	""	""	"Colorant"	""	
"Calcium 3-Hydroxy-4-[(4-methyl-2-sulphonatophenyl)azo]-2-naphthoate"	"226-109-5"	"5281-04-9"	"27"	"Calcium 3-Hydroxy-4-[(4-methyl-2-sulphonatophenyl)azo]-2-naphthoate"	"226-109-5"	"5281-04-9"	"15850"	"Red"	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 180)"	""	""	"Colorant"	""	
"Calcium bis[3-hydroxy-4-(phenylazo)-2-naphthoate]"	"228-899-7"	"6371-76-2"	"26"	"Calcium bis[3-hydroxy-4-(phenylazo)-2-naphthoate]"	""	"6371-76-2"	"15800"	"Red"	""	"All cosmetic products except those applied to mucous membranes and when used as a substance in hair dye products"	"Not to be used in products applied to mucous membranes"	""	""	"Colorant"	""	
"Calcium carbonate"	"207-439-9"	"471-34-1"	"124"	"Calcium carbonate"	"207-439-9"	"471-34-1"	"77220"	"White"	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 170)"	""	""	"Colorant"	""	
"Calcium disodium bis[2-chloro-5-[(2-hydroxy-1-naphthyl)azo]-4-sulphonatobenzoate]"	"227-456-5"	"5850-80-6"	"22"	"Calcium disodium bis[2-chloro-5-[(2-hydroxy-1-naphthyl)azo]-4-sulphonatobenzoate]"	""	"5850-80-6"	"15525"	"Red"	""	"All cosmetic products"	""	""	""	"Colorant"	""	
"Calcium stearate"	"216-472-8"	"1592-23-0"	"150"	"Calcium stearate"	"216-472-8"	"1592-23-0"	""	"White"	""	"All cosmetic products"	""	""	""	"Colorant"	""	
"Calcium sulfate"	"231-900-3"	"7778-18-9"	"125"	"Calcium sulfate"	""	"7778-18-9"	"77231"	"White"	""	"All cosmetic products"	""	""	""	"Colorant"	""	
"Canthaxanthin"	"208-187-2"	"514-78-3"	"58"	"Canthaxanthin"	"208-187-2"	"514-78-3"	"40850"	"Orange"	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 161g)"	""	""	"Colorant"	""	
"Caramel"	"232-435-9"	"8028-89-5"	"146"	"Caramel"	"232-435-9"	"8028-89-5"	""	"Brown"	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 150a-d)"	""	""	"Colorant"	""	
"Carbon"	"231-153-3"	"7440-44-0"	"126"	"Carbon"	"231-153-3"	"7440-44-0"	"77266"	"Black"	""	"All cosmetic products"	"Purity &gt; 97 %, with the following impurity profile: Ash content ≤ 0.15 %, total sulphur ≤ 0.65 %, total PAH ≤ 500 ppb and benzo(a)pyrene ≤ 5 ppb, dibenz(a,h)anthracene ≤ 5 ppb, total As ≤ 3 ppm, total Pb ≤ 10 ppm, total Hg ≤ 1 ppm"	""	""	"Colorant"	""	
"Carbon"	"231-153-3"	"7440-44-0"	"126a"	"Carbon"	"231-153-3"	"7440-44-0"	"77266"	"Black"	"Nano"	"All cosmetic products"	"Not to be used in applications that may lead to exposure of the end user&#39;s lungs by inhalation; Only nanomaterials having the following characteristics are allowed: Purity &gt; 97 %, with the following impurity profile: Ash content ≤ 0.15 %, total sulphur ≤ 0.65 %, total PAH ≤ 500 ppb and benzo(a)pyrene ≤ 5 ppb, dibenz(a,h)anthracene ≤ 5 ppb, total As ≤ 3 ppm, total Pb ≤ 10 ppm, and total Hg ≤ 1 ppm; Primary particle size ≥ 20 nm"	"10 %"	""	"Colorant"	""	
"Carbon black"	"215-609-9"	"1333-86-4"	"126"	"Carbon black"	"215-609-9"	"1333-86-4"	"77266"	"Black"	""	"All cosmetic products"	"Purity &gt; 97 %, with the following impurity profile: Ash content ≤ 0.15 %, total sulphur ≤ 0.65 %, total PAH ≤ 500 ppb and benzo(a)pyrene ≤ 5 ppb, dibenz(a,h)anthracene ≤ 5 ppb, total As ≤ 3 ppm, total Pb ≤ 10 ppm, total Hg ≤ 1 ppm"	""	""	"Colorant"	""	
"Carbon black"	"215-609-9"	"1333-86-4"	"126a"	"Carbon black"	"215-609-9"	"1333-86-4"	"77266"	"Black"	"Nano"	"All cosmetic products"	"Not to be used in applications that may lead to exposure of the end user&#39;s lungs by inhalation; Only nanomaterials having the following characteristics are allowed: Purity &gt; 97 %, with the following impurity profile: Ash content ≤ 0.15 %, total sulphur ≤ 0.65 %, total PAH ≤ 500 ppb and benzo(a)pyrene ≤ 5 ppb, dibenz(a,h)anthracene ≤ 5 ppb, total As ≤ 3 ppm, total Pb ≤ 10 ppm, and total Hg ≤ 1 ppm; Primary particle size ≥ 20 nm"	"10 %"	""	"Colorant"	""	
"Carmine"	"215-724-4"	"1390-65-4"	"115"	"Carmine"	"215-724-4"	"1390-65-4"	""	""	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 120)"	""	""	"Colorant"	""	
"Carminic acid"	"215-023-3"	"1260-17-9"	"115"	"Carminic acid"	"215-023-3"	"1260-17-9"	"75470"	"Red"	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 120)"	""	""	"Colorant"	""	
"Charcoal, bone"	"232-421-2"	"8021-99-6"	"127"	"Charcoal, bone"	""	"8021-99-6"	"77267"	"Black"	""	"All cosmetic products"	""	""	""	"Colorant"	"A fine black powder obtained by burning animal bones in a closed container; It consists primarily of calcium phosphate and carbon"	
"Chlorophyllins"	"287-483-3"	"85536-03-4"	"116"	"Chlorophyllins"	"287-483-3"	"85536-03-4"	""	""	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 140, E 141)"	""	""	"Colorant"	""	
"Chlorophylls"	"215-800-7"	"1406-65-1"	"116"	"Chlorophylls"	"215-800-7"	"1406-65-1"	""	""	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 140, E 141)"	""	""	"Colorant"	""	
"Chromium (III) hydroxide"	"601-657-1"	"12001-99-9"	"130"	"Chromium (III) hydroxide"	""	"12001-99-9"	"77289"	"Green"	""	"All cosmetic products"	"Free from chromate ion"	""	""	"Colorant"	""	
"Chromium (III) oxide"	"215-160-9"	"1308-38-9"	"129"	"Chromium (III) oxide"	""	"1308-38-9"	"77288"	"Green"	""	"All cosmetic products"	"Free from chromate ion"	""	""	"Colorant"	""	
"CI Food Orange 5"	"214-171-6"	"1107-26-2"	"111"	"CI Food Orange 5"	"214-171-6"	"1107-26-2"	"75130"	"Orange"	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 160a)"	""	""	"Colorant"	""	
"Cobalt aluminum oxide"	"310-193-6"	"1345-16-0"	"131"	"Cobalt aluminum oxide"	""	"1345-16-0"	"77346"	"Green"	""	"All cosmetic products"	""	""	""	"Colorant"	""	
"Cochineal"	"215-680-6"	"1343-78-8"	"115"	"Cochineal"	"215-680-6"	"1343-78-8"	""	""	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 120)"	""	""	"Colorant"	""	
"Coke black"	"215-669-6"	"1339-82-8"	"128"	"Coke black"	""	"1339-82-8"	"77268:1"	"Black"	""	"All cosmetic products"	""	""	""	"Colorant"	""	
"Copper"	"231-159-6"	"7440-50-8"	"132"	"Copper"	""	"7440-50-8"	"77400"	"Brown"	""	"All cosmetic products"	""	""	""	"Colorant"	""	
"Copper, [3,7,11,15-tetramethyl-2-hexadecenyl 9-ethenyl-14-ethyl-13-formyl-21-(methoxycarbonyl)-4,8,18-trimethyl-20-oxo-3-phorbinepropanoato(2-)-N23,N24,N25,N26]-, [SP-4-2-[3S-[3α(2E,7S*,11S*),4β,21β]]]-"	"246-020-5"	"24111-17-9"	"116"	"Copper, [3,7,11,15-tetramethyl-2-hexadecenyl 9-ethenyl-14-ethyl-13-formyl-21-(methoxycarbonyl)-4,8,18-trimethyl-20-oxo-3-phorbinepropanoato(2-)-N23,N24,N25,N26]-, [SP-4-2-[3S-[3α(2E,7S*,11S*),4β,21β]]]-"	"246-020-5"	"24111-17-9"	""	""	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 140, E 141)"	""	""	"Colorant"	""	
"Copper, [3,7,11,15-tetramethyl-2-hexadecenyl 9-ethenyl-14-ethyl-21-(methoxycarbonyl)-4,8,13,18-tetramethyl-20-oxo-3-phorbinepropanoato(2-)-N23,N24,N25,N26]-, [SP-4-2-[3S-[3α(2E,7S*,11S*),4β,21β]]]-"	"239-830-5"	"15739-09-0"	"116"	"Copper, [3,7,11,15-tetramethyl-2-hexadecenyl 9-ethenyl-14-ethyl-21-(methoxycarbonyl)-4,8,13,18-tetramethyl-20-oxo-3-phorbinepropanoato(2-)-N23,N24,N25,N26]-, [SP-4-2-[3S-[3α(2E,7S*,11S*),4β,21β]]]-"	"239-830-5"	"15739-09-0"	""	""	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 140, E 141)"	""	""	"Colorant"	""	
"Curcumins"	"207-280-5"	"458-37-7"	"114"	"Curcumins"	"207-280-5"	"458-37-7"	"75300"	"Yellow"	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 100)"	""	""	"Colorant"	""	
"Cyanidin chloride"	"208-438-6"	"528-58-5"	"149"	"Cyanidin chloride"	"208-438-6"	"528-58-5"	""	"Red"	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 163)"	""	""	"Colorant"	""	
"Delphinidin"	"208-437-0"	"528-53-0"	"149"	"Delphinidin"	"208-437-0"	"528-53-0"	""	"Red"	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 163)"	""	""	"Colorant"	""	
"Dipotassium 3,6-dichloro-2-(2,4,5,7-tetrabromo-6-oxido-3-oxoxanthen-9-yl)benzoate"	"229-225-4"	"6441-77-6"	"78"	"Dipotassium 3,6-dichloro-2-(2,4,5,7-tetrabromo-6-oxido-3-oxoxanthen-9-yl)benzoate"	""	"6441-77-6"	"45405"	"Red"	""	"All cosmetic products except eye products"	"Not to be used in eye products; Not more than 1% 2-(6-hydroxy-3-oxo-3H-xanthen-9-yl) benzoic acid; Not more than 2 % 2-(bromo-6-hydroxy-3-oxo-3H-xanthen-9-yl) benzoic acid"	""	""	"Colorant"	""	
"Disodium 2,2'-(9,10-dioxoanthracene-1,4-diyldiimino)bis(5-methylsulphonate)"	"224-546-6"	"4403-90-1"	"92"	"Disodium 2,2&#39;-(9,10-dioxoanthracene-1,4-diyldiimino)bis(5-methylsulphonate)"	""	"4403-90-1"	"61570"	"Green"	""	"All cosmetic products"	""	""	""	"Colorant"	""	
"Disodium 2,5-dichloro-4-(5-hydroxy-3-methyl-4-((sulphophenyl)azo)pyrazol-1-yl)benzenesulphonate"	"228-819-0"	"6359-98-4"	"43"	"Disodium 2,5-dichloro-4-(5-hydroxy-3-methyl-4-((sulphophenyl)azo)pyrazol-1-yl)benzenesulphonate"	""	"6359-98-4"	"18965"	"Yellow"	""	"All cosmetic products"	""	""	""	"Colorant"	""	
"Disodium 2-(2,4,5,7-tetrabromo-6-oxido-3-oxoxanthen-9-yl)benzoate"	"241-409-6"	"17372-87-1"	"76"	"Disodium 2-(2,4,5,7-tetrabromo-6-oxido-3-oxoxanthen-9-yl)benzoate"	""	"17372-87-1"	"45380"	"Red"	""	"All cosmetic products except when used as a substance in hair dye products"	"Not more than 1% 2-(6-hydroxy-3-oxo-3H-xanthen-9-yl) benzoic acid; Not more than 2 % 2-(bromo-6-hydroxy-3-oxo-3H-xanthen-9-yl) benzoic acid"	""	""	"Colorant"	""	
"Disodium 2-(2,4,5,7-tetraiodo-6-oxido-3-oxoxanthen-9-yl)benzoate"	"240-474-8"	"16423-68-0"	"80"	"Disodium 2-(2,4,5,7-tetraiodo-6-oxido-3-oxoxanthen-9-yl)benzoate"	"240-474-8"	"16423-68-0"	"45430"	"Red"	""	"All cosmetic products except when used as a substance in hair dye products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 127)"	""	""	"Colorant"	""	
"Disodium 2-(3-oxo-6-oxidoxanthen-9-yl)benzoate"	"208-253-0"	"518-47-8"	"74"	"Disodium 2-(3-oxo-6-oxidoxanthen-9-yl)benzoate"	""	"518-47-8"	"45350"	"Yellow"	""	"All cosmetic products except when used as a substance in hair dye products"	""	"6 %"	""	"Colorant"	""	
"Disodium 2-amino-5-[(4-sulphonatophenyl)azo]benzenesulphonate"	"220-293-0"	"2706-28-7"	"16"	"Disodium 2-amino-5-[(4-sulphonatophenyl)azo]benzenesulphonate"	""	"2706-28-7"	"13015"	"Yellow"	""	"All cosmetic products"	""	""	""	"Colorant"	""	
"Disodium 3-[(2,4-dimethyl-5-sulphonatophenyl)azo]-4-hydroxynaphthalene-1-sulphonate"	"224-909-9"	"4548-53-2"	"18"	"Disodium 3-[(2,4-dimethyl-5-sulphonatophenyl)azo]-4-hydroxynaphthalene-1-sulphonate"	""	"4548-53-2"	"14700"	"Red"	""	"All cosmetic products except when used as a substance in hair dye products"	""	""	""	"Colorant"	""	
"Disodium 3-hydroxy-4-[(4-methyl-2-sulphonatophenyl)azo]-2-naphthoate"	"227-497-9"	"5858-81-1"	"27"	"Disodium 3-hydroxy-4-[(4-methyl-2-sulphonatophenyl)azo]-2-naphthoate"	"227-497-9"	"5858-81-1"	"15850"	"Red"	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 180)"	""	""	"Colorant"	""	
"Disodium 4,6-dihydroxy-3-[[4-[1-[4-[[1-hydroxy-7-[(phenylsulphonyl)oxy]-3-sulphonato-2-naphthyl]azo]phenyl]cyclohexyl] phenyl]azo]naphthalene-2-sulphonate"	"236-531-1"	"13421-53-9"	"50"	"Disodium 4,6-dihydroxy-3-[[4-[1-[4-[[1-hydroxy-7-[(phenylsulphonyl)oxy]-3-sulphonato-2-naphthyl]azo]phenyl]cyclohexyl] phenyl]azo]naphthalene-2-sulphonate"	""	"13421-53-9"	"24790"	"Red"	""	"Rinse-off products"	""	""	""	"Colorant"	""	
"Disodium 4-[(5-chloro-4-methyl-2-sulphonatophenyl)azo]-3-hydroxy-2-naphthoate"	"222-642-2"	"3564-21-4"	"28"	"Disodium 4-[(5-chloro-4-methyl-2-sulphonatophenyl)azo]-3-hydroxy-2-naphthoate"	""	"3564-21-4"	"15865"	"Red"	""	"All cosmetic products except when used as a substance in hair dye products"	""	""	""	"Colorant"	""	
"Disodium 4-hydroxy-3-[(4-sulphonatonaphthyl)azo]naphtha-lenesulphonate"	"222-657-4"	"3567-69-9"	"19"	"Disodium 4-hydroxy-3-[(4-sulphonatonaphthyl)azo]naphtha-lenesulphonate"	"222-657-4"	"3567-69-9"	"14720"	"Red"	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 122)"	""	""	"Colorant"	""	
"Disodium 5,5'-(2-(1,3-dihydro-3-oxo-2H-indazol-2-ylidene)-1,2-dihydro-3H-indol-3-one)disulphonate"	"212-728-8"	"860-22-0"	"99"	"Disodium 5,5&#39;-(2-(1,3-dihydro-3-oxo-2H-indazol-2-ylidene)-1,2-dihydro-3H-indol-3-one)disulphonate"	"212-728-8"	"860-22-0"	"73015"	"Blue"	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 132)"	""	""	"Colorant"	""	
"Disodium 5,7-dinitro-8-oxidonaphthalene-2-sulphonate"	"212-690-2"	"846-70-8"	"3"	"Disodium 5,7-dinitro-8-oxidonaphthalene-2-sulphonate"	"212-690-2"	"846-70-8"	"10316"	"Yellow"	""	"All cosmetic products except eye products"	"Not to be used in eye products"	""	""	"Colorant"	""	
"Disodium 5-acetylamino-4-hydroxy-3-(phenylazo)naphthalene-2,7-disulphonate"	"223-098-9"	"3734-67-6"	"38"	"Disodium 5-acetylamino-4-hydroxy-3-(phenylazo)naphthalene-2,7-disulphonate"	"223-098-9"	"3734-67-6"	"18050"	"Red"	""	"All cosmetic products except those applied to mucous membranes"	"Not to be used in products applied to mucous membranes; Purity criteria as set out in Commission Directive 95/45/EC (E 128)"	""	""	"Colorant"	""	
"Disodium 5-amino-4-hydroxy-3-(phenylazo)naphthalene-2,7-disulphonate"	"222-656-9"	"3567-66-6"	"37"	"Disodium 5-amino-4-hydroxy-3-(phenylazo)naphthalene-2,7-disulphonate"	""	"3567-66-6"	"17200"	"Red"	""	"All cosmetic products"	""	""	""	"Colorant"	""	
"Disodium 6-[(2,4-dimethyl-6-sulphonatophenyl)azo]-5-hydroxynaphthalene-1-sulphonate"	"221-856-3"	"3257-28-1"	"20"	"Disodium 6-[(2,4-dimethyl-6-sulphonatophenyl)azo]-5-hydroxynaphthalene-1-sulphonate"	""	"3257-28-1"	"14815"	"Red"	""	"All cosmetic products"	""	""	""	"Colorant"	""	
"Disodium 6-hydroxy-5-[(2-methoxy-4-sulphonato-m-tolyl)azo]naphthalene-2-sulphonate"	"247-368-0"	"25956-17-6"	"32"	"Disodium 6-hydroxy-5-[(2-methoxy-4-sulphonato-m-tolyl)azo]naphthalene-2-sulphonate"	"247-368-0"	"25956-17-6"	"16035"	"Red"	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 129)"	""	""	"Colorant"	""	
"Disodium 6-hydroxy-5-[(3-sulphonatophenyl)azo]naphthalene-2-sulphonate"	"219-073-7"	"2347-72-0"	"30"	"Disodium 6-hydroxy-5-[(3-sulphonatophenyl)azo]naphthalene-2-sulphonate"	""	"2347-72-0"	"15980"	"Orange"	""	"All cosmetic products"	""	""	""	"Colorant"	""	
"Disodium 6-hydroxy-5-[(4-sulphonatophenyl)azo]naphthalene-2-sulphonate"	"220-491-7"	"2783-94-0"	"31"	"Disodium 6-hydroxy-5-[(4-sulphonatophenyl)azo]naphthalene-2-sulphonate"	"220-491-7"	"2783-94-0"	"15985"	"Yellow"	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 110)"	""	""	"Colorant"	""	
"Disodium 7-hydroxy-8-(phenylazo)naphthalene-1,3-disulphonate"	"217-705-6"	"1936-15-8"	"34"	"Disodium 7-hydroxy-8-(phenylazo)naphthalene-1,3-disulphonate"	""	"1936-15-8"	"16230"	"Orange"	""	"All cosmetic products except those applied to mucous membranes"	"Not to be used in products applied to mucous membranes"	""	""	"Colorant"	""	
"Disodium [29H,31H-phthalocyaninedisulphonato (4-)-N29,N30,N31,N32] cuprate (2-)"	"215-537-8"	"1330-38-7"	"106"	"Disodium [29H,31H-phthalocyaninedisulphonato (4-)-N29,N30,N31,N32] cuprate (2-)"	""	"1330-38-7"	"74180"	"Blue"	""	"Rinse-off products except when used as a substance in hair dye products"	""	""	""	"Colorant"	""	
"Disodium hydrogen bis[5-chloro-3-[(4,5-dihydro-3-methyl-5-oxo-1-phenyl-1H-pyrazol-4-yl)azo]-2-hydroxybenzenesulphonato(3-)]chromate(3-)"	"229-051-9"	"6408-26-0"	"41"	"Disodium hydrogen bis[5-chloro-3-[(4,5-dihydro-3-methyl-5-oxo-1-phenyl-1H-pyrazol-4-yl)azo]-2-hydroxybenzenesulphonato(3-)]chromate(3-)"	""	"6408-26-0"	"18736"	"Red"	""	"Rinse-off products"	""	""	""	"Colorant"	""	
"Ethanaminium, N-(4-((4-(diethylamino)phenyl)(5-hydroxy-2,4-disulfophenyl)methylene)-2,5-cyclohexadien-1-ylidene)-N-ethyl-, hydroxide, inner salt, calcium salt (2:1)"	"222-573-8"	"3536-49-0"	"60"	"Ethanaminium, N-(4-((4-(diethylamino)phenyl)(5-hydroxy-2,4-disulfophenyl)methylene)-2,5-cyclohexadien-1-ylidene)-N-ethyl-, hydroxide, inner salt, calcium salt (2:1)"	"222-573-8"	"3536-49-0"	"42051"	"Blue"	""	"All cosmetic products except when used as a substance in hair dye products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 131)"	""	""	"Colorant"	""	
"Ethyl 8'-apo-β-caroten-8'-oate"	"214-173-7"	"1109-11-1"	"57"	"Ethyl 8&#39;-apo-β-caroten-8&#39;-oate"	"214-173-7"	"1109-11-1"	"40825"	"Orange"	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 160f)"	""	""	"Colorant"	""	
"Ferric ammonium ferrocyanide"	"237-875-5"	"14038-43-8"	"138"	"Ferric ammonium ferrocyanide"	""	"14038-43-8"	"77510"	"Blue"	""	"All cosmetic products"	"Free from cyanide ions"	""	""	"Colorant"	""	
"Gold"	"231-165-9"	"7440-57-5"	"133"	"Gold"	"231-165-9"	"7440-57-5"	"77480"	"Brown"	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 175)"	""	""	"Colorant"	""	
"Hydrogen (benzyl)[4-[[4-[benzylethylamino]phenyl](2,4-disulphonatophenyl)methylene]cyclohexa-2,5-dien-1-ylidene](ethyl)ammonium, sodium salt"	"222-476-0"	"3486-30-4"	"62"	"Hydrogen (benzyl)[4-[[4-[benzylethylamino]phenyl](2,4-disulphonatophenyl)methylene]cyclohexa-2,5-dien-1-ylidene](ethyl)ammonium, sodium salt"	""	"3486-30-4"	"42080"	"Blue"	""	"Rinse-off products"	""	""	""	"Colorant"	""	
"Hydrogen 3,6-bis(diethylamino)-9-(2,4-disulphonatophenyl)xanthylium, sodium salt"	"222-529-8"	"3520-42-1"	"71"	"Hydrogen 3,6-bis(diethylamino)-9-(2,4-disulphonatophenyl)xanthylium, sodium salt"	""	"3520-42-1"	"45100"	"Red"	""	"Rinse-off products"	""	""	""	"Colorant"	""	
