Cosmetic Products Regulation, Annex V - Allowed Preservatives
"Biphenyl-2-ol"	"201-993-5"	"90-43-7"	"7"	"Biphenyl-2-ol"	"201-993-5"	"90-43-7"	"Rinse-off products"	"Preservative"	""	"0.2 %"	""	"As phenol"	"Avoid contact with eyes."	"From 17 June 2019 cosmetic products containing Biphenyl-2-ol and not complying with those conditions shall not be placed on the Union market. From 17 September 2019 cosmetic products containing Biphenyl-2-ol and not complying with those conditions shall not be made available on the Union market"	
"Biphenyl-2-ol"	"201-993-5"	"90-43-7"	"7"	"Biphenyl-2-ol"	"201-993-5"	"90-43-7"	"Leave-on products"	"Preservative"	""	"0.15 %"	""	"As phenol"	"Avoid contact with eyes."	"From 17 June 2019 cosmetic products containing Biphenyl-2-ol and not complying with those conditions shall not be placed on the Union market. From 17 September 2019 cosmetic products containing Biphenyl-2-ol and not complying with those conditions shall not be made available on the Union market"	
"Bronopol"	"200-143-0"	"52-51-7"	"21"	"Bronopol"	"200-143-0"	"52-51-7"	"All cosmetic products"	"Preservative"	"Avoid formation of nitrosamines"	"0.1 %"	""	""	""	"All finished products containing substances which are listed in this Annex and which release formaldehyde shall be labelled with the warning &#39;&#39;releases formaldehyde&#39;&#39; where the total concentration of formaldehyde released in the finished product exceeds 0,001 % (10 ppm), irrespective of whether the finished product contains one or more substances releasing formaldehyde. However, all finished products containing substances referred to in the first subparagraph which comply with Regulation (EC) No 1223/2009 as applicable on 30 July 2022 may be placed on the Union market until 31 July 2024 and be made available on the Union market until 31 July 2026"	
"Butyl 4-hydroxybenzoate"	"202-318-7"	"94-26-8"	"12a"	"Butyl 4-hydroxybenzoate"	"202-318-7"	"94-26-8"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Butyl 4-hydroxybenzoate and its salts, Propyl 4-hydroxybenzoate and its salts&#39;Not to be used in leave-on products designed for application on the nappy area of children under three years of age"	"0.14 %"	"For sum of the individual concentrations"	"As acid"	"For leave-on products designed for children under three years of age: &#39;&#39;Do not use on the nappy area&#39;&#39;."	"Maximum concentration is for the sum of the individual concentrations"	
"Butyl 4-hydroxybenzoate"	"202-318-7"	"94-26-8"	"12a"	"Butyl 4-hydroxybenzoate"	"202-318-7"	"94-26-8"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Butyl 4-hydroxybenzoate and its salts, Propyl 4-hydroxybenzoate and its salts, 4-Hydroxybenzoic acid and its Methyl-and Ethyl-esters, and their salts&#39;Not to be used in leave-on products designed for application on the nappy area of children under three years of age"	"0.8 %"	"For mixtures of substances mentioned in entry 12 and 12a, where the sum of the individual concentrations of butyl- and propylparaben and their salts does not exceed 0,14 %"	"As acid"	"For leave-on products designed for children under three years of age: &#39;&#39;Do not use on the nappy area&#39;&#39;."	"Maximum concentration is for mixtures of substances mentioned in entry 12 and 12a, where the sum of the individual concentrations of butyl- and propylparaben and their salts does not exceed 0.14%"	
"Butyl benzoate"	"205-252-7"	"136-60-7"	"1a"	"Butyl benzoate"	"205-252-7"	"136-60-7"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Salts of benzoic acid other than that listed under reference number 1 and esters of benzoic acid&#39;"	"0.5 %"	""	"As acid"	""	""	
"C8-18-Alkydimethylbenzyl ammonium chlorides"	"264-151-6"	"63449-41-2"	"54"	"C8-18-Alkydimethylbenzyl ammonium chlorides"	"264-151-6"	"63449-41-2"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Benzalkonium chloride, bromide and saccharinate&#39;"	"0.1 %"	""	"As benzalkonium chloride"	"Avoid contact with eyes."	"For use other than as a preservative, see Annex III, No. 65"	
"Calcium benzoate"	"218-235-4"	"2090-05-3"	"1a"	"Calcium benzoate"	"218-235-4"	"2090-05-3"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Salts of benzoic acid other than that listed under reference number 1 and esters of benzoic acid&#39;"	"0.5 %"	""	"As acid"	""	""	
"Calcium paraben"	"274-235-4"	"69959-44-0"	"12"	"Calcium paraben"	"274-235-4"	"69959-44-0"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;4-Hydroxybenzoic acid and its Methyl-and Ethyl-esters, and their salts&#39;"	"0.4 %"	"For single ester"	"As acid"	""	""	
"Calcium propionate"	"223-795-8"	"4075-81-4"	"2"	"Calcium propionate"	"223-795-8"	"4075-81-4"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Propionic acid and its salts&#39;"	"2 %"	""	"As acid"	""	""	
"Calcium salicylate"	"212-525-4"	"824-35-1"	"3"	"Calcium salicylate"	"212-525-4"	"824-35-1"	"Cosmetic products other than products for children under 3 years of age, except for shampoos"	"Preservative"	"Maximum concentration value is given for &#39;Salicylic acid and its salts&#39;Not to be used in products for children under 3 years of age, except for shampoos"	"0.5 %"	""	"As acid"	"Not to be used for children under 3 years of age."	"For use other than as a preservative, see Annex III, No. 98Wording of conditions of use and warnings is used solely for products which might be used for children under 3 years of age and which remain in prolonged contact with the skin"	
"Calcium sorbate"	"231-321-6"	"7492-55-9"	"4"	"Calcium sorbate"	"231-321-6"	"7492-55-9"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Hexa-2,4-dienoic acid and its salts&#39;"	"0.6 %"	""	"As acid"	""	""	
"Cetrimonium bromide"	"200-311-3"	"57-09-0"	"44"	"Cetrimonium bromide"	"200-311-3"	"57-09-0"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Alkyl (C 12-22) trimethyl ammonium bromide and chloride&#39;"	"0.1 %"	""	""	""	""	
"Cetrimonium chloride"	"203-928-6"	"112-02-7"	"44"	"Cetrimonium chloride"	"203-928-6"	"112-02-7"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Alkyl (C 12-22) trimethyl ammonium bromide and chloride&#39;"	"0.1 %"	""	""	""	"For use other than as a preservative, see Annex III, No 286"	
"Chloro-xylenol"	"201-793-8"	"88-04-0"	"26"	"Chloro-xylenol"	"201-793-8"	"88-04-0"	"All cosmetic products"	"Preservative"	""	"0.5 %"	""	""	""	""	
"Chlorobutanol"	"200-317-6"	"57-15-8"	"11"	"Chlorobutanol"	"200-317-6"	"57-15-8"	"All cosmetic products"	"Preservative"	"Not to be used in aerosol dispensers (sprays)"	"0.5 %"	""	""	"Contains Chlorobutanol."	""	
"Chlorocresol"	"200-431-6"	"59-50-7"	"24"	"Chlorocresol"	"200-431-6"	"59-50-7"	"All cosmetic products except products applied on mucuous membranes"	"Preservative"	"Not to be used in products applied on mucuous membranes"	"0.2 %"	""	""	""	""	
"Dehydroacetic acid"	"-"	"16807-48-0"	"13"	"Dehydroacetic acid"	""	"16807-48-0"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;3-Acetyl-6-methylpyran-2,4 (3H)-dione and its salts&#39;Not to be used in aerosol dispensers (sprays)"	"0.6 %"	""	"As acid"	""	""	
"Esters of methyl, ethyl, propyl, isopropyl, butyl, isobutyl and phenyl of benzoic acid"	"-"	"-"	"1a"	"Esters of methyl, ethyl, propyl, isopropyl, butyl, isobutyl and phenyl of benzoic acid"	""	""	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Salts of benzoic acid other than that listed under reference number 1 and esters of benzoic acid&#39;"	"0.5 %"	""	"As acid"	""	""	
"Ethyl benzoate"	"202-284-3"	"93-89-0"	"1a"	"Ethyl benzoate"	"202-284-3"	"93-89-0"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Salts of benzoic acid other than that listed under reference number 1 and esters of benzoic acid&#39;"	"0.5 %"	""	"As acid"	""	""	
"Ethyl-N-alpha-dodecanoyl-L-arginate hydrochloride"	"434-630-6"	"60372-77-2"	"58"	"Ethyl-N-alpha-dodecanoyl-L-arginate hydrochloride"	"434-630-6"	"60372-77-2"	"All cosmetic products except lip products, oral products, and spray products"	"Preservative"	"Not to be used in lip products, oral products (other than mouthwashes), and spray products"	"0.4 %"	""	""	""	"For other uses than preservatives, see Annex III, entry No 197"	
"Ethyl-N-alpha-dodecanoyl-L-arginate hydrochloride"	"434-630-6"	"60372-77-2"	"58"	"Ethyl-N-alpha-dodecanoyl-L-arginate hydrochloride"	"434-630-6"	"60372-77-2"	"Mouthwashes"	"Preservative"	"Not to be used in preparations for children under 10 years of age"	"0.15 %"	""	""	"Not to be used for children under 10 years of age."	"For other uses than preservatives, see Annex III, entry No 197"	
"Ethylparaben"	"204-399-4"	"120-47-8"	"12"	"Ethylparaben"	"204-399-4"	"120-47-8"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;4-Hydroxybenzoic acid and its Methyl-and Ethyl-esters, and their salts&#39;"	"0.4 %"	"For single ester"	"As acid"	""	""	
"Formic acid"	"200-579-1"	"64-18-6"	"14"	"Formic acid"	"200-579-1"	"64-18-6"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Formic acid and its sodium salt&#39;"	"0.5 %"	""	"As acid"	""	""	
"Glutaraldehyde;Pentane-1,5-dial"	"203-856-5"	"111-30-8"	"48"	"Pentane-1,5-dialGlutaraldehyde"	"203-856-5"	"111-30-8"	"All cosmetic products"	"Preservative"	"Not to be used in aerosols (sprays)"	"0.1 %"	""	""	"Contains Glutaral."	"Wording of conditions of use and warnings is used only if the concentration exceeds 0.05%"	
"Hexa-2,4-dienoic acid"	"203-768-7"	"110-44-1"	"4"	"Hexa-2,4-dienoic acid"	"203-768-7"	"110-44-1"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Hexa-2,4-dienoic acid and its salts&#39;"	"0.6 %"	""	"As acid"	""	""	
"Hexamidine diisethionate"	"211-533-5"	"659-40-5"	"47"	"Hexamidine diisethionate"	"211-533-5"	"659-40-5"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Benzenecarboximidamide, 4,4&#39;-(1,6-hexanediylbis (oxy))bis- and its salts&#39;"	"0.1 %"	""	""	""	""	
"Hexamidine paraben"	"299-055-3"	"93841-83-9"	"47"	"Hexamidine paraben"	"299-055-3"	"93841-83-9"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Benzenecarboximidamide, 4,4&#39;-(1,6-hexanediylbis (oxy))bis- and its salts&#39;"	"0.1 %"	""	""	""	""	
"Inorganic sulphites and hydrogen sulphites"	"-"	"-"	"9"	"Inorganic sulphites and hydrogen sulphites"	""	""	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Inorganic sulphites and hydrogen sulphites&#39;"	"0.2 %"	""	"As free SO2"	""	"For use other than as a preservative, see Annex III, No. 99"	
"Isobutyl benzoate"	"204-401-3"	"120-50-3"	"1a"	"Isobutyl benzoate"	"204-401-3"	"120-50-3"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Salts of benzoic acid other than that listed under reference number 1 and esters of benzoic acid&#39;"	"0.5 %"	""	"As acid"	""	""	
"Isopropyl benzoate"	"213-361-6"	"939-48-0"	"1a"	"Isopropyl benzoate"	"213-361-6"	"939-48-0"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Salts of benzoic acid other than that listed under reference number 1 and esters of benzoic acid&#39;"	"0.5 %"	""	"As acid"	""	""	
"Laurtrimonium bromide"	"214-290-3"	"1119-94-4"	"44"	"Laurtrimonium bromide"	"214-290-3"	"1119-94-4"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Alkyl (C 12-22) trimethyl ammonium bromide and chloride&#39;"	"0.1 %"	""	""	""	""	
"Laurtrimonium chloride"	"203-927-0"	"112-00-5"	"44"	"Laurtrimonium chloride"	"203-927-0"	"112-00-5"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Alkyl (C 12-22) trimethyl ammonium bromide and chloride&#39;"	"0.1 %"	""	""	""	""	
"Magnesium benzoate"	"209-045-2"	"553-70-8"	"1a"	"Magnesium benzoate"	"209-045-2"	"553-70-8"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Salts of benzoic acid other than that listed under reference number 1 and esters of benzoic acid&#39;"	"0.5 %"	""	"As acid"	""	""	
"Magnesium propionate"	"209-166-0"	"557-27-7"	"2"	"Magnesium propionate"	"209-166-0"	"557-27-7"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Propionic acid and its salts&#39;"	"2 %"	""	"As acid"	""	""	
"Magnesium salicylate"	"242-669-3"	"18917-89-0"	"3"	"Magnesium salicylate"	"242-669-3"	"18917-89-0"	"Cosmetic products other than products for children under 3 years of age, except for shampoos"	"Preservative"	"Maximum concentration value is given for &#39;Salicylic acid and its salts&#39;Not to be used in products for children under 3 years of age, except for shampoos"	"0.5 %"	""	"As acid"	"Not to be used for children under 3 years of age."	"For use other than as a preservative, see Annex III, No. 98Wording of conditions of use and warnings is used solely for products which might be used for children under 3 years of age and which remain in prolonged contact with the skin"	
"MEA-benzoate"	"224-387-2"	"4337-66-0"	"1a"	"MEA-benzoate"	"224-387-2"	"4337-66-0"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Salts of benzoic acid other than that listed under reference number 1 and esters of benzoic acid&#39;"	"0.5 %"	""	"As acid"	""	""	
"MEA-salicylate"	"261-963-2"	"59866-70-5"	"3"	"MEA-salicylate"	"261-963-2"	"59866-70-5"	"Cosmetic products other than products for children under 3 years of age, except for shampoos"	"Preservative"	"Maximum concentration value is given for &#39;Salicylic acid and its salts&#39;Not to be used in products for children under 3 years of age, except for shampoos"	"0.5 %"	""	"As acid"	"Not to be used for children under 3 years of age."	"For use other than as a preservative, see Annex III, No. 98Wording of conditions of use and warnings is used solely for products which might be used for children under 3 years of age and which remain in prolonged contact with the skin"	
"Methanol, (phenylmethoxy-)"	"238-588-8"	"14548-60-8"	"55"	"Methanol, (phenylmethoxy-)"	"238-588-8"	"14548-60-8"	"Rinse-off products"	"Preservative"	""	"0.15 %"	""	""	""	"All finished products containing substances which are listed in this Annex and which release formaldehyde shall be labelled with the warning &#39;&#39;releases formaldehyde&#39;&#39; where the total concentration of formaldehyde released in the finished product exceeds 0,001 % (10 ppm), irrespective of whether the finished product contains one or more substances releasing formaldehyde. However, all finished products containing substances referred to in the first subparagraph which comply with Regulation (EC) No 1223/2009 as applicable on 30 July 2022 may be placed on the Union market until 31 July 2024 and be made available on the Union market until 31 July 2026"	
"Methenamine"	"202-905-8"	"100-97-0"	"30"	"Methenamine"	"202-905-8"	"100-97-0"	"All cosmetic products"	"Preservative"	""	"0.15 %"	""	""	""	"All finished products containing substances which are listed in this Annex and which release formaldehyde shall be labelled with the warning &#39;&#39;releases formaldehyde&#39;&#39; where the total concentration of formaldehyde released in the finished product exceeds 0,001 % (10 ppm), irrespective of whether the finished product contains one or more substances releasing formaldehyde. However, all finished products containing substances referred to in the first subparagraph which comply with Regulation (EC) No 1223/2009 as applicable on 30 July 2022 may be placed on the Union market until 31 July 2024 and be made available on the Union market until 31 July 2026"	
"Methyl benzoate"	"202-259-7"	"93-58-3"	"1a"	"Methyl benzoate"	"202-259-7"	"93-58-3"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Salts of benzoic acid other than that listed under reference number 1 and esters of benzoic acid&#39;"	"0.5 %"	""	"As acid"	""	""	
"Methylparaben"	"202-785-7"	"99-76-3"	"12"	"Methylparaben"	"202-785-7"	"99-76-3"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;4-Hydroxybenzoic acid and its Methyl-and Ethyl-esters, and their salts&#39;"	"0.4 %"	"For single ester"	"As acid"	""	""	
"Mixture of 5-Chloro-2-methyl-isothiazol-3(2H)-one and 2-methylisothiazol-3(2H)-one"	"611-341-5"	"55965-84-9"	"39"	"Mixture of 5-Chloro-2-methyl-isothiazol-3(2H)-one and 2-methylisothiazol-3(2H)-one"	""	"55965-84-9"	"Rinse-off products"	"Preservative"	"Maximum concentration value is given for &#39;Mixture of 5-Chloro-2-methyl-isothiazol-3(2H)-one and 2-methylisothiazol-3(2H)-one&#39;"	"0.0015 %"	"Of a mixture in the ratio 3:1 of 5-chloro-2-methylisothiazol 3(2H)-one and 2-methylisothiazol-3(2H)-one"	""	""	"Methylisothiazolinone is also regulated in entry 57. The two entries are mutually exclusive: the use of the mixture of Methylchloroisothiazolinone (and) Methylisothiazolinone is incompatible with the use of Methylisothiazolinone alone in the same product"	
"N,N''-bis(4-Chlorophenyl)-3,12-diimino-2,4,11,13-tetraazatetradecanediamidine"	"200-238-7"	"55-56-1"	"42"	"N,N&#39;&#39;-bis(4-Chlorophenyl)-3,12-diimino-2,4,11,13-tetraazatetradecanediamidine"	"200-238-7"	"55-56-1"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;N,N&#39;&#39;-bis(4-chlorophenyl)-3,12-diimino-2,4,11,13-tetraazatetradecanediamidine and its digluconate, diacetate and dihydrochloride&#39;"	"0.3 %"	""	"As chlorhexidine"	""	""	
"N,N''-bis(4-Chlorophenyl)-3,12-diimino-2,4,11,13-tetraazatetradecanediamidine diacetate"	"200-302-4"	"56-95-1"	"42"	"N,N&#39;&#39;-bis(4-Chlorophenyl)-3,12-diimino-2,4,11,13-tetraazatetradecanediamidine diacetate"	"200-302-4"	"56-95-1"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;N,N&#39;&#39;-bis(4-chlorophenyl)-3,12-diimino-2,4,11,13-tetraazatetradecanediamidine and its digluconate, diacetate and dihydrochloride&#39;"	"0.3 %"	""	"As chlorhexidine"	""	""	
"N,N''-bis(4-Chlorophenyl)-3,12-diimino-2,4,11,13-tetraazatetradecanediamidine digluconate"	"242-354-0"	"18472-51-0"	"42"	"N,N&#39;&#39;-bis(4-Chlorophenyl)-3,12-diimino-2,4,11,13-tetraazatetradecanediamidine digluconate"	"242-354-0"	"18472-51-0"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;N,N&#39;&#39;-bis(4-chlorophenyl)-3,12-diimino-2,4,11,13-tetraazatetradecanediamidine and its digluconate, diacetate and dihydrochloride&#39;"	"0.3 %"	""	"As chlorhexidine"	""	""	
"N,N''-bis(4-Chlorophenyl)-3,12-diimino-2,4,11,13-tetraazatetradecanediamidine dihydrochloride"	"223-026-6"	"3697-42-5"	"42"	"N,N&#39;&#39;-bis(4-Chlorophenyl)-3,12-diimino-2,4,11,13-tetraazatetradecanediamidine dihydrochloride"	"223-026-6"	"3697-42-5"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;N,N&#39;&#39;-bis(4-chlorophenyl)-3,12-diimino-2,4,11,13-tetraazatetradecanediamidine and its digluconate, diacetate and dihydrochloride&#39;"	"0.3 %"	""	"As chlorhexidine"	""	""	
"N,N''-Methylenebis[N'-[3-(hydroxymethyl)-2,5-dioxoimidazolidin-4-yl]urea]"	"254-372-6"	"39236-46-9"	"27"	"N,N&#39;&#39;-Methylenebis[N&#39;-[3-(hydroxymethyl)-2,5-dioxoimidazolidin-4-yl]urea]"	"254-372-6"	"39236-46-9"	"All cosmetic products"	"Preservative"	""	"0.6 %"	""	""	""	"All finished products containing substances which are listed in this Annex and which release formaldehyde shall be labelled with the warning &#39;&#39;releases formaldehyde&#39;&#39; where the total concentration of formaldehyde released in the finished product exceeds 0,001 % (10 ppm), irrespective of whether the finished product contains one or more substances releasing formaldehyde. However, all finished products containing substances referred to in the first subparagraph which comply with Regulation (EC) No 1223/2009 as applicable on 30 July 2022 may be placed on the Union market until 31 July 2024 and be made available on the Union market until 31 July 2026"	
"N-(Hydroxymethyl)-N-(dihydroxymethyl-1,3-dioxo-2,5-imidazolidinyl-4)-N'-(hydroxymethyl) urea"	"278-928-2"	"78491-02-8"	"46"	"N-(Hydroxymethyl)-N-(dihydroxymethyl-1,3-dioxo-2,5-imidazolidinyl-4)-N&#39;-(hydroxymethyl) urea"	"278-928-2"	"78491-02-8"	"All cosmetic products"	"Preservative"	""	"0.5 %"	""	""	""	"All finished products containing substances which are listed in this Annex and which release formaldehyde shall be labelled with the warning &#39;&#39;releases formaldehyde&#39;&#39; where the total concentration of formaldehyde released in the finished product exceeds 0,001 % (10 ppm), irrespective of whether the finished product contains one or more substances releasing formaldehyde. However, all finished products containing substances referred to in the first subparagraph which comply with Regulation (EC) No 1223/2009 as applicable on 30 July 2022 may be placed on the Union market until 31 July 2024 and be made available on the Union market until 31 July 2026"	
"N-Alkyl dimethyl benzyl ammonium chloride (C12-C18)"	"269-919-4"	"68391-01-5"	"54"	"N-Alkyl dimethyl benzyl ammonium chloride (C12-C18)"	"269-919-4"	"68391-01-5"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Benzalkonium chloride, bromide and saccharinate&#39;"	"0.1 %"	""	"As benzalkonium chloride"	"Avoid contact with eyes."	"For use other than as a preservative, see Annex III, No. 65"	
"Phenyl benzoate"	"202-293-2"	"93-99-2"	"1a"	"Phenyl benzoate"	"202-293-2"	"93-99-2"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Salts of benzoic acid other than that listed under reference number 1 and esters of benzoic acid&#39;"	"0.5 %"	""	"As acid"	""	""	
"Phenyl Mercuric Acetate"	"200-532-5"	"62-38-4"	"17"	"Phenyl Mercuric Acetate"	"200-532-5"	"62-38-4"	"Eye products"	"Preservative"	"If mixed with other mercurial compounds authorised by this Regulation, the maximum concentration of Hg remains fixed at 0.007%"	"0.007 %"	""	"As Hg"	"Contains Phenylmercuric compounds."	""	
"Phenyl Mercuric Benzoate"	"202-331-8"	"94-43-9"	"17"	"Phenyl Mercuric Benzoate"	"202-331-8"	"94-43-9"	"Eye products"	"Preservative"	"If mixed with other mercurial compounds authorised by this Regulation, the maximum concentration of Hg remains fixed at 0.007%"	"0.007 %"	""	"As Hg"	"Contains Phenylmercuric compounds."	""	
"Phenylmercuric salts (including borate)"	"-"	"-"	"17"	"Phenylmercuric salts (including borate)"	""	""	"Eye products"	"Preservative"	"If mixed with other mercurial compounds authorised by this Regulation, the maximum concentration of Hg remains fixed at 0.007%"	"0.007 %"	""	"As Hg"	"Contains Phenylmercuric compounds."	"For the purpose of this list: &#39;Salts&#39; is taken to mean: salts of the cations sodium, potassium, calcium, magnesium, ammonium and ethanolamines, Salts of the anions chloride, bromide, sulphate, acetate"	
"PHMB;Poly(hexamethylenebicyanoguanide-hexamethylenediamine) Hydrochloride"	"608-042-7"	"27083-27-8"	"28"	"Poly(hexamethylenebicyanoguanide-hexamethylenediamine) HydrochloridePHMB"	"608-042-7"	"27083-27-8"	"All cosmetic products"	"Preservative"	"Not to be used in applications that may lead to exposure of the end-user&#39;s lungs by inhalation"	"0.1 %"	""	""	""	""	
"Polyaminopropyl biguanide"	"640-037-5"	"133029-32-0"	"28"	"Polyaminopropyl biguanide"	""	"133029-32-0"	"All cosmetic products"	"Preservative"	"Not to be used in applications that may lead to exposure of the end-user&#39;s lungs by inhalation"	"0.1 %"	""	""	""	""	
"Polyaminopropyl biguanide hydrochloride"	"608-723-9"	"32289-58-0"	"28"	"Polyaminopropyl biguanide hydrochloride"	"608-723-9"	"32289-58-0"	"All cosmetic products"	"Preservative"	"Not to be used in applications that may lead to exposure of the end-user&#39;s lungs by inhalation"	"0.1 %"	""	""	""	""	
"Polyhexamethylene biguanide"	"923-111-4"	"28757-47-3"	"28"	"Polyhexamethylene biguanide"	"923-111-4"	"28757-47-3"	"All cosmetic products"	"Preservative"	"Not to be used in applications that may lead to exposure of the end-user&#39;s lungs by inhalation"	"0.1 %"	""	""	""	""	
"Potassium benzoate"	"209-481-3"	"582-25-2"	"1a"	"Potassium benzoate"	"209-481-3"	"582-25-2"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Salts of benzoic acid other than that listed under reference number 1 and esters of benzoic acid&#39;"	"0.5 %"	""	"As acid"	""	""	
"Potassium butylparaben"	"254-009-1"	"38566-94-8"	"12a"	"Potassium butylparaben"	"254-009-1"	"38566-94-8"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Butyl 4-hydroxybenzoate and its salts, Propyl 4-hydroxybenzoate and its salts&#39;Not to be used in leave-on products designed for application on the nappy area of children under three years of age"	"0.14 %"	"For sum of the individual concentrations"	"As acid"	"For leave-on products designed for children under three years of age: &#39;&#39;Do not use on the nappy area&#39;&#39;."	""	
"Potassium ethylparaben"	"253-048-1"	"36457-19-9"	"12"	"Potassium ethylparaben"	"253-048-1"	"36457-19-9"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;4-Hydroxybenzoic acid and its Methyl-and Ethyl-esters, and their salts&#39;"	"0.4 %"	"For single ester"	"As acid"	""	""	
