annex,ref_no,name,cas,ec_number,product_type,max_threshold,min_threshold,functions,restriction_text,warning_label
Annex III,9a,"1,4-Benzenediamine, 2-methyl-",95-70-5,202-442-1,General use hair dye substance in oxidative hair dye products,2 %,,,For general useAfter mixing under oxidative conditions the maximum concentration applied to hair or eyelashes must not exceed 2.0 % (calculated as free base),"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. Contains phenylenediamines (toluenediamines). Do not use to dye eyelashes or eyebrows.&#39;&#39;"
Annex III,9a,"1,4-Benzenediamine, 2-methyl-",95-70-5,202-442-1,General use hair dye substance in oxidative hair dye products,3.6 %,,,For general useAfter mixing under oxidative conditions the maximum concentration applied to hair or eyelashes must not exceed 3.6 % (calculated as sulfate salt),"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. Contains phenylenediamines (toluenediamines). Do not use to dye eyelashes or eyebrows.&#39;&#39;"
Annex III,9a,"1,4-Benzenediamine, 2-methyl-",95-70-5,202-442-1,Professional use cosmetic products for coloring eyelashes,2 %,,,For professional use onlyAfter mixing under oxidative conditions the maximum concentration applied to hair or eyelashes must not exceed 2.0 % (calculated as free base),"To be printed on the label: The mixing ratio. &#39;&#39;This product can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your eyelashes if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair or eyelashes, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. Contains phenylenediamines. Rinse eyes immediately if product comes into contact with them.&#39;&#39;"
Annex III,9a,"1,4-Benzenediamine, 2-methyl-",95-70-5,202-442-1,Professional use hair dye substance in oxidative hair dye products,3.6 %,,,For professional use onlyAfter mixing under oxidative conditions the maximum concentration applied to hair or eyelashes must not exceed 3.6 % (calculated as sulfate salt),"To be printed on the label: The mixing ratio. &#39;&#39;For professional use only. Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. Contains phenylenediamines (toluenediamines). Wear suitable gloves.&#39;&#39;"
Annex III,9a,"1,4-Benzenediamine, 2-methyl-",95-70-5,202-442-1,Professional use cosmetic products for coloring eyelashes,3.6 %,,,For professional use onlyAfter mixing under oxidative conditions the maximum concentration applied to hair or eyelashes must not exceed 3.6 % (calculated as sulfate salt),"To be printed on the label: The mixing ratio. &#39;&#39;This product can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your eyelashes if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair or eyelashes, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. Contains phenylenediamines. Rinse eyes immediately if product comes into contact with them.&#39;&#39;"
Annex III,9a,"2,5-Diaminotoluene sulphate",615-50-9,210-431-8,Professional use hair dye substance in oxidative hair dye products,2 %,,,For professional use onlyAfter mixing under oxidative conditions the maximum concentration applied to hair or eyelashes must not exceed 2.0 % (calculated as free base),"To be printed on the label: The mixing ratio. &#39;&#39;For professional use only. Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. Contains phenylenediamines (toluenediamines). Wear suitable gloves.&#39;&#39;"
Annex III,9a,"2,5-Diaminotoluene sulphate",615-50-9,210-431-8,Professional use hair dye substance in oxidative hair dye products,3.6 %,,,For professional use onlyAfter mixing under oxidative conditions the maximum concentration applied to hair or eyelashes must not exceed 3.6 % (calculated as sulfate salt),"To be printed on the label: The mixing ratio. &#39;&#39;For professional use only. Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. Contains phenylenediamines (toluenediamines). Wear suitable gloves.&#39;&#39;"
Annex III,9a,"2,5-Diaminotoluene sulphate",615-50-9,210-431-8,General use hair dye substance in oxidative hair dye products,3.6 %,,,For general useAfter mixing under oxidative conditions the maximum concentration applied to hair or eyelashes must not exceed 3.6 % (calculated as sulfate salt),"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. Contains phenylenediamines (toluenediamines). Do not use to dye eyelashes or eyebrows.&#39;&#39;"
Annex III,9a,"2,5-Diaminotoluene sulphate",615-50-9,210-431-8,Professional use cosmetic products for coloring eyelashes,3.6 %,,,For professional use onlyAfter mixing under oxidative conditions the maximum concentration applied to hair or eyelashes must not exceed 3.6 % (calculated as sulfate salt),"To be printed on the label: The mixing ratio. &#39;&#39;This product can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your eyelashes if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair or eyelashes, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. Contains phenylenediamines. Rinse eyes immediately if product comes into contact with them.&#39;&#39;"
Annex III,9a,"2,5-Diaminotoluene sulphate",615-50-9,210-431-8,General use hair dye substance in oxidative hair dye products,2 %,,,For general useAfter mixing under oxidative conditions the maximum concentration applied to hair or eyelashes must not exceed 2.0 % (calculated as free base),"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. Contains phenylenediamines (toluenediamines). Do not use to dye eyelashes or eyebrows.&#39;&#39;"
Annex III,9a,"2,5-Diaminotoluene sulphate",615-50-9,210-431-8,Professional use cosmetic products for coloring eyelashes,2 %,,,For professional use onlyAfter mixing under oxidative conditions the maximum concentration applied to hair or eyelashes must not exceed 2.0 % (calculated as free base),"To be printed on the label: The mixing ratio. &#39;&#39;This product can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your eyelashes if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair or eyelashes, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. Contains phenylenediamines. Rinse eyes immediately if product comes into contact with them.&#39;&#39;"
Annex III,9b,"1-Methyl-2,6-bis-(2-hydroxyethylamino)-benzene",149330-25-6,443-210-1,Hair dye substance in oxidative hair dye products,1 %,,,After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 1.0 %Do not use with nitrosating agentsMaximum nitrosamine content: 50 μg/kgKeep in nitrite-free containers,"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after coloring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past.&#39;&#39;"
Annex III,11,Dichlorophen,97-23-4,202-567-1,All cosmetic products,0.5 %,,,,Contains Dichlorophen
Annex III,12,"Compounds or mixtures that release hydrogen peroxide, including carbamide peroxide and zinc peroxide, with the exception of the following substances in Annex II: No 1397, 1398, 1399",-,-,Skin products,4 %,,,,Contains hydrogen peroxide. Avoid contact with eyes. Rinse immediately if product comes into contact with them.
Annex III,12,"Compounds or mixtures that release hydrogen peroxide, including carbamide peroxide and zinc peroxide, with the exception of the following substances in Annex II: No 1397, 1398, 1399",-,-,"Oral products (including mouth rinse, tooth paste and tooth whitening or bleaching products)",0.1 %,,,,
Annex III,12,"Compounds or mixtures that release hydrogen peroxide, including carbamide peroxide and zinc peroxide, with the exception of the following substances in Annex II: No 1397, 1398, 1399",-,-,Cosmetic products for eyelashes,2 %,,,For professional use only,Wear suitable gloves. To be printed on the label: &#39;&#39;For professional use only. Avoid contact with eyes. Rinse eyes immediately if product comes into contact with them. Contains hydrogen peroxide.&#39;&#39;
Annex III,12,"Compounds or mixtures that release hydrogen peroxide, including carbamide peroxide and zinc peroxide, with the exception of the following substances in Annex II: No 1397, 1398, 1399",-,-,Hair products,12 %,,,,Wear suitable gloves. Contains hydrogen peroxide. Avoid contact with eyes. Rinse immediately if product comes into contact with them.
Annex III,12,"Compounds or mixtures that release hydrogen peroxide, including carbamide peroxide and zinc peroxide, with the exception of the following substances in Annex II: No 1397, 1398, 1399",-,-,Products for hardening nails,2 %,,,,Contains hydrogen peroxide. Avoid contact with eyes. Rinse immediately if product comes into contact with them.
Annex III,12,"Compounds or mixtures that release hydrogen peroxide, including carbamide peroxide and zinc peroxide, with the exception of the following substances in Annex II: No 1397, 1398, 1399",-,-,Tooth whitening or bleaching products,6 %,0.1 %,,"To be only sold to dental practitionersFor each cycle of use, first use by dental practitioners as defined under Directive 2005/36/EC of the European Parliament and of the Council (Directive 2005/36/EC of the European Parliament and of the Council of 7 September 2005 on the recognition of professional qualifications (OJ L 255, 30.9.2005, p. 22)) or under their direct supervision if an equivalent level of safety is ensured. Afterwards to be provided to the consumer to complete the cycle of useNot to be used on a person under 18 years of age","Contains hydrogen peroxide. Avoid contact with eyes. Rinse immediately if product comes into contact with them. Concentration of H2O2 present or released indicated in percentage. Not to be used on a person under 18 years of age. To be only sold to dental practitioners. For each cycle of use, the first use to be only done by dental practitioners or under their direct supervision if an equivalent level of safety is ensured. Afterwards to be provided to the consumer to complete the cycle of use."
Annex III,12,Hydrogen peroxide,7722-84-1,231-765-0,Hair products,12 %,,,,Wear suitable gloves. Contains hydrogen peroxide. Avoid contact with eyes. Rinse immediately if product comes into contact with them.
Annex III,12,Hydrogen peroxide,7722-84-1,231-765-0,Skin products,4 %,,,,Contains hydrogen peroxide. Avoid contact with eyes. Rinse immediately if product comes into contact with them.
Annex III,12,Hydrogen peroxide,7722-84-1,231-765-0,Tooth whitening or bleaching products,6 %,0.1 %,,"To be only sold to dental practitionersFor each cycle of use, first use by dental practitioners as defined under Directive 2005/36/EC of the European Parliament and of the Council (Directive 2005/36/EC of the European Parliament and of the Council of 7 September 2005 on the recognition of professional qualifications (OJ L 255, 30.9.2005, p. 22)) or under their direct supervision if an equivalent level of safety is ensured. Afterwards to be provided to the consumer to complete the cycle of useNot to be used on a person under 18 years of age","Contains hydrogen peroxide. Avoid contact with eyes. Rinse immediately if product comes into contact with them. Concentration of H2O2 present or released indicated in percentage. Not to be used on a person under 18 years of age. To be only sold to dental practitioners. For each cycle of use, the first use to be only done by dental practitioners or under their direct supervision if an equivalent level of safety is ensured. Afterwards to be provided to the consumer to complete the cycle of use."
Annex III,12,Hydrogen peroxide,7722-84-1,231-765-0,Professional use cosmetic products for eyelashes,2 %,,,For professional use only,Wear suitable gloves. To be printed on the label: &#39;&#39;For professional use only. Avoid contact with eyes. Rinse eyes immediately if product comes into contact with them. Contains hydrogen peroxide.&#39;&#39;
Annex III,12,Hydrogen peroxide,7722-84-1,231-765-0,Products for hardening nails,2 %,,,,Contains hydrogen peroxide. Avoid contact with eyes. Rinse immediately if product comes into contact with them.
Annex III,12,Hydrogen peroxide,7722-84-1,231-765-0,"Oral products (including mouth rinse, tooth paste and tooth whitening or bleaching products)",0.1 %,,,,
Annex III,14,Hydroquinone,123-31-9,204-617-8,Artificial nail systems,0.02 %,,,For professional use only,For professional use only. Avoid skin contact. Read directions for use carefully.
Annex III,15a,Potassium hydroxide,1310-58-3,215-181-3,Nail cuticle products,5 %,,Solvent,,Contains alkali. Avoid contact with eyes. Can cause blindness. Keep out of reach of children.
Annex III,15a,Potassium hydroxide,1310-58-3,215-181-3,General use products for straightening hair,2 %,,,For general use,Contains alkali. Avoid contact with eyes. Can cause blindness. Keep out of reach of children.
Annex III,15a,Potassium hydroxide,1310-58-3,215-181-3,Professional use products for straightening hair,4.5 %,,,For professional use,For professional use only. Avoid contact with eyes. Can cause blindness.
Annex III,15a,Sodium hydroxide,1310-73-2,215-185-5,Nail cuticle products,5 %,,Solvent,,Contains alkali. Avoid contact with eyes. Can cause blindness. Keep out of reach of children.
Annex III,15a,Sodium hydroxide,1310-73-2,215-185-5,General use products for straightening hair,2 %,,,For general use,Contains alkali. Avoid contact with eyes. Can cause blindness. Keep out of reach of children.
Annex III,15a,Sodium hydroxide,1310-73-2,215-185-5,Professional use products for straightening hair,4.5 %,,,For professional use,For professional use only. Avoid contact with eyes. Can cause blindness.
Annex III,15b,Lithium hydroxide,1310-65-2,215-183-4,General use products for straightening hair,2 %,,,For general use,Contains alkali. Avoid contact with eyes. Can cause blindness. Keep out of reach of children.
Annex III,15b,Lithium hydroxide,1310-65-2,215-183-4,Professional use products for straightening hair,4.5 %,,,For professional use,Avoid contact with eyes. Can cause blindness.
Annex III,15c,Calcium hydroxide,1305-62-0,215-137-3,Hair straightening products,7 %,,,,Contains alkali. Avoid contact with eyes. Can cause blindness. Keep out of reach of children.
Annex III,15d,Potassium hydroxide,1310-58-3,215-181-3,Callosity softener/remover,1.5 %,,,,Contains alkali. Avoid contact with eyes. Keep out of reach of children. Read directions for use carefully
Annex III,16,1-Naphthalenol,90-15-3,201-969-4,Hair dye substance in oxidative hair dye products,2 %,,,After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 2.0 %,"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past.&#39;&#39;"
Annex III,17,Sodium nitrite,7632-00-0,231-555-9,All cosmetic products,0.2 %,,Rust inhibitor,Not to be used with secondary and/or tertiary amines or other substances forming nitrosamines,
Annex III,18,Nitromethane,75-52-5,200-876-6,All cosmetic products,0.3 %,,Rust inhibitor,,
Annex III,21,"Cinchonan-9-ol, 6&#39;-methoxy-, (8α, 9R)-",130-95-0,205-003-2,Rinse-off hair products,0.5 %,,,,
Annex III,21,"Cinchonan-9-ol, 6&#39;-methoxy-, (8α, 9R)-",130-95-0,205-003-2,Leave-on hair products,0.2 %,,,,
Annex III,21,"Salts of Cinchonan-9-ol, 6&#39;-methoxy-, (8α, 9R)-",-,-,Leave-on hair products,0.2 %,,,,
Annex III,21,"Salts of Cinchonan-9-ol, 6&#39;-methoxy-, (8α, 9R)-",-,-,Rinse-off hair products,0.5 %,,,,
Annex III,22,"1,3-Benzenediol",108-46-3,203-585-2,Hair dye substance in oxidative hair dye products,1.25 %,,,After mixing under oxidative conditions the maximum concentration applied to hair or eyelashes must not exceed 1.25 %,"To be printed on the label: The mixing ratio. &#39;&#39;Hair colorants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. Contains resorcinol. Rinse hair well after application. Rinse eyes immediately if product comes into contact with them. Do not use to dye eyelashes.&#39;&#39;"
Annex III,22,"1,3-Benzenediol",108-46-3,203-585-2,Hair lotions and shampoos,0.5 %,,,,Contains resorcinol
Annex III,22,"1,3-Benzenediol",108-46-3,203-585-2,Cosmetic products for coloring eyelashes,1.25 %,,,After mixing under oxidative conditions the maximum concentration applied to hair or eyelashes must not exceed 1.25 %For professional use only,"To be printed on the label: The mixing ratio. &#39;&#39;For professional use only. Contains resorcinol. This product can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase the risk of allergy. Eyelashes shall not be coloured if the consumer: has a rash on the face or sensitive, irritated and damaged scalp, has experienced any reaction after colouring hair or eyelashes, has experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. Rinse eyes immediately if product comes into contact with them.&#39;&#39;"
Annex III,23,Alkali sulphides,-,-,Depilatories,2 %,,,,Keep out of reach of children. Avoid contact with eyes.
Annex III,23,Alkaline earth sulphides,-,-,Depilatories,6 %,,,,Keep out of reach of children. Avoid contact with eyes.
Annex III,24,"Water-soluble zinc salts with the exception of zinc 4-hydroxy-benzenesulphonate (entry 25) and zinc pyrithione (Annex II, entry 1670)",-,-,All cosmetic products,1 %,,,,
Annex III,24,Zinc acetate,557-34-6,209-170-2,All cosmetic products,1 %,,,,
Annex III,24,Zinc chloride,7646-85-7,231-592-0,All cosmetic products,1 %,,,,
Annex III,24,Zinc gluconate,4468-02-4,224-736-9,All cosmetic products,1 %,,,,
Annex III,24,Zinc glutamate,1949-15-1,-,All cosmetic products,1 %,,,,
Annex III,25,Zinc 4-hydroxybenzene sulphonate,127-82-2,204-867-8,"Deodorants, antiperspirants and astringent lotions",6 %,,,,Avoid contact with eyes
Annex III,26,Ammonium monofluorophosphate,20859-38-5,-,Oral products,0.15 %,,,"When mixed with other fluorine compounds permitted under this Annex, total F concentration must not exceed 0.15 %",Contains ammonium monofluorophosphate. For any toothpaste with compounds containing fluorine in a concentration of 0.1 to 0.15 % calculated as F unless it is already labelled as contraindicated for children (e.g. &#39;for adult use only&#39;) the following labelling is obligatory: &#39;Children of 6 years and younger: use a pea-sized amount for supervised brushing to minimise swallowing. In case of intake of fluoride from other sources consult a dentist or doctor.&#39;
Annex III,26,Ammonium monofluorophosphate,66115-19-3,-,Oral products,0.15 %,,,"When mixed with other fluorine compounds permitted under this Annex, total F concentration must not exceed 0.15 %",Contains ammonium monofluorophosphate. For any toothpaste with compounds containing fluorine in a concentration of 0.1 to 0.15 % calculated as F unless it is already labelled as contraindicated for children (e.g. &#39;for adult use only&#39;) the following labelling is obligatory: &#39;Children of 6 years and younger: use a pea-sized amount for supervised brushing to minimise swallowing. In case of intake of fluoride from other sources consult a dentist or doctor.&#39;
Annex III,27,Disodium fluorophosphate,10163-15-2,233-433-0,Oral products,0.15 %,,,"When mixed with other fluorine compounds permitted under this Annex, total F concentration must not exceed 0.15 %",Contains sodium monofluorophosphate. For any toothpaste with compounds containing fluorine in a concentration of 0.1 to 0.15 % calculated as F unless it is already labelled as contraindicated for children (e.g. &#39;for adult use only&#39;) the following labelling is obligatory: &#39;Children of 6 years and younger: use a pea-sized amount for supervised brushing to minimise swallowing. In case of intake of fluoride from other sources consult a dentist or doctor.&#39;
