"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  US$","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  US$","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
52.,"Hermon Arnica Bruise Cream with Vitamin K: Sensitive Skin & Face Formula for Bruising, Swelling & Thin Skin – Extra Strength Arnica Montana Hydrating Moisturizer 2 Oz","B0FS99FQ82","https://www.amazon.com/dp/B0FS99FQ82?psc=1","https://m.media-amazon.com/images/I/81Oo3RqOJ-L._SY450_.jpg","Hermon",21.99,686,461,50,"15,540.86","10,138.4",166,"28,654","US",7.22,2,4.3,498,7,33,"GENESISKINGDOM","Beauty & Personal Care","Large Standard-Size","FBA","6.81 x 1.38 x 1.38 in",0.2,"N/A","Sep 23, 2025",,"No",5,"GENESISKINGDOM"
67.,"Boiron Arnicare Cream 4.2 oz (Twin Pack) for Joint Pain, Muscle Pain Relief, Swelling, Soreness, Stiffness, and Bruises - Fast Absorbing and Fragrance-Free Arnica","B0F45WNHPS","https://www.amazon.com/dp/B0F45WNHPS?psc=1","https://m.media-amazon.com/images/I/81U7YOIqBNL._AC_SX569_.jpg","Boiron",29.99,643,643,"N/A","19,285.26","19,278.7",162,"42,557","US",8.93,1,4.9,31,9,11,"Peak10 Health LLC","Health & Household","Large Standard-Size","FBA","7.13 x 2.01 x 5.04 in",0.73,"N/A","Apr 9, 2025",,"No",10,"Peak10 Health LLC"
56.,"Procure Bruise Remedy","B00J7WI64Y","https://www.amazon.com/dp/B00J7WI64Y?psc=1","https://m.media-amazon.com/images/I/71G7sOPaFmL._AC_SY355_.jpg","PROcure",10.99,641,641,500,"6,463.29","6,456.76",21,"28,687","AMZ",6.37,9,4.2,"3,897",10,9,"Amazon","Beauty & Personal Care","Large Standard-Size","AMZ","5.47 x 1.26 x 3.07 in",0.2,"N/A","Mar 24, 2014",,"No",143,"Amazon"
35.,"Arnica Bruise Cream Extra Strength: Rapid Relief for Bruising Swelling Soreness Pain on Thin Skin - Potent Arnica Montana with Vitamin K Coconut Shea Butter - Face & Body","B0FJ9TP8CB","https://www.amazon.com/dp/B0FJ9TP8CB?psc=1","https://m.media-amazon.com/images/I/61h3-ghLxoL._SX425_.jpg","Recuren Plus",24.95,433,433,400,"10,805.14","10,804.75",170,"27,992","CN",7.69,1,4.7,82,9,9,"SkinEase","Beauty & Personal Care","Large Standard-Size","FBA","3.19 x 2.40 x 3.11 in",0.42,"N/A","Jul 21, 2025",,"No",7,"SkinEase"
29.,"TAGRID Arnica Cream Extra Strength: Fast Pain Relief Arnica Bruise Cream with Vitamin K for Bruising and Swelling on Thin Skin, Joint Pain, Muscle Pain, Soreness (4 Ounce (Pack of 1))","B0FV5QK2K3","https://www.amazon.com/dp/B0FV5QK2K3?psc=1","https://m.media-amazon.com/images/I/71NoEY3hx3L._SX679_.jpg","TAGRID",24.99,380,380,300,"9,497.79","9,493.88",183,"56,168","US",7.7,1,4.6,128,8,6,"Kotka Summer","Beauty & Personal Care","Large Standard-Size","FBA","6.57 x 1.93 x 1.97 in",0.35,"N/A","Oct 15, 2025",,"No",4,"Kotka Summer"
43.,"Arnica Cream for Bruising and Swelling: Extra Strength Arnica Bruise Cream with Vitamins K C E for Seniors Aged 55 and Above - Fast Healing Formula Ideal for Thin Skin 3.5 oz","B0FT7VKB5K","https://www.amazon.com/dp/B0FT7VKB5K?psc=1","https://m.media-amazon.com/images/I/61htIcbmcqL._SY355_.jpg","Acolye",16.99,254,254,200,"4,317.27","4,314.58",174,"65,285","CN",6.71,1,4.6,53,7,8,"Whole Beauty Shop","Beauty & Personal Care","Large Standard-Size","FBA","2.99 x 2.52 x 2.99 in",0.35,"N/A","Sep 30, 2025",,"No",5,"Whole Beauty Shop"
48.,"Arnica Bruise Cream Extra Strength & Soothing Cream - Fast-Acting for Improving the Appearance of Bruises & Swelling | High-Strength Arnica Montana, Vitamins K/C/E | 4.23 oz/120 g","B0FQCFT75K","https://www.amazon.com/dp/B0FQCFT75K?psc=1","https://m.media-amazon.com/images/I/611RjtK554L._SY355_.jpg","PIFLAT",9.99,253,253,200,"2,530.89","2,528.22",179,"54,864","CN",4.19,1,4.5,25,6,2,"TXMYUS","Beauty & Personal Care","Large Standard-Size","FBA","2.91 x 2.05 x 2.87 in",0.35,"N/A","Oct 20, 2025",,"No",4,"TXMYUS"
27.,"Arnica Bruise Cream Extra Strength for Bruising, Swelling & Muscle Discomfort, Enriched with Arnica Montana & Vitamins K, C & E, Plus 9 Plant Compounds, Fast Acting Thin Skin, Long Lasting, 4 Oz","B0G4W1VGG9","https://www.amazon.com/dp/B0G4W1VGG9?psc=1","https://m.media-amazon.com/images/I/71tlnFRdCkL._SX569_.jpg","Glopink",13.99,242,242,"N/A","3,193.23","3,190.84",194,"54,393","CN",6.05,1,5,3,7,2,"Lightning Cat Store","Health & Household","Large Standard-Size","FBA","2.95 x 2.24 x 2.91 in",0.35,"N/A","Jan 18, 2026",,"No",1,"Lightning Cat Store"
17.,"Reshape+ Arnica Bruise Relief Topical Cream For Bruising, Swelling, & Discoloration On Skin, Natural Skin Care Homeopathic Arnica Lotion W/Vitamin K, Horse Chestnut, & Collagen, Large 8 Fl Oz","B06XJYWY4L","https://www.amazon.com/dp/B06XJYWY4L?psc=1","https://m.media-amazon.com/images/I/71nAl7rYq3L._SY450_.jpg","Reshape+",15.99,209,141,"N/A","4,032.16","2,248.82",191,"58,147","US",6.6,1,4.3,"1,398",4,1,"Pure Valley","Health & Household","Large Standard-Size","FBA","7.80 x 2.52 x 3.15 in",0.6,"N/A","Mar 12, 2017",,"No",107,"Pure Valley"
60.,"Arnica Bruise Cream Balm with Vitamin K – Bruise Cream for Seniors with Thin, Mature, Elderly Skin- Fragile Skin Moisturing Formula legs, arms, hands","B0D5TW1DB4","https://www.amazon.com/dp/B0D5TW1DB4?psc=1","https://m.media-amazon.com/images/I/51ozH1TS69L._SX466_.jpg","Arnique",19.95,194,194,100,"3,649.99","3,649.42",149,"72,600","US",6.94,1,4.2,151,7,4,"Arnique Skin","Beauty & Personal Care","Large Standard-Size","FBA","2.83 x 2.44 x 2.80 in",0.33,"N/A","Jun 1, 2024",,"No",20,"Arnique Skin"
42.,"Arnica Bruise Cream Extra Strength – Fast-Acting Arnica Montana with Vitamins K, C & E for Bruising, Swelling, Discoloration & Thin Skin – Hydrating Moisturizer for Face & Body – 4 oz","B0FK5WKF46","https://www.amazon.com/dp/B0FK5WKF46?psc=1","https://m.media-amazon.com/images/I/61o3UZ0SW1L._SX425_.jpg","PHARMBANNER",24.99,190,190,100,"4,747","4,744.95",183,"76,350","CN",8.9,1,4.3,39,7,"N/A","Botanexa","Beauty & Personal Care","Large Standard-Size","FBA","6.14 x 2.76 x 3.03 in",0.4,"N/A","Jul 28, 2025",,"No",7,"Botanexa"
40.,"Arnica Cream Bruise Relief Lotion for Bruising and Swelling On Skin | Bruise Cream Extra Strength Vitamin K Cream | Moisturizing Arnica Bruise Formula Skin Care Gel W/Collagen, 4 Fl Oz","B01L03N1RO","https://www.amazon.com/dp/B01L03N1RO?psc=1","https://m.media-amazon.com/images/I/81+AnqL1MmL._AC_SY450_.jpg","Pure Relief",14.99,171,149,100,"2,830.28","2,227.21",184,"69,534","US",6.15,2,4.2,"4,285",6,0,"Pure Valley","Beauty & Personal Care","Large Standard-Size","FBA","5.91 x 2.01 x 2.13 in",0.31,"N/A","Aug 25, 2016",,"No",114,"Pure Valley"
50.,"Bruise Cream Extra Strength Fast Healing Thin Skin – Fast-Acting Relief for Bruising & Swelling – Enriched with Arnica Montana & Vitamins K, C & E – Moisturizing, Non-Greasy – 4 oz","B0FF4P16RX","https://www.amazon.com/dp/B0FF4P16RX?psc=1","https://m.media-amazon.com/images/I/61NEzHCdK+L._SX466_.jpg","QUBIT",19.99,121,121,100,"2,378.9","2,377.54",180,"84,495","CN",6.95,1,4,15,7,1,"MiaoGu.INC","Beauty & Personal Care","Large Standard-Size","FBA","2.91 x 2.44 x 2.87 in",0.4,"N/A","Jun 23, 2025",,"No",8,"MiaoGu.INC"
53.,"Miracle Plus Natural Arnica Bruise Body Gel | Arnica Montana Lotion For Thin Skin Bruising And Swelling After Surgery | Extra Strength Vitamin K Cream | Soothing Ointment For Bruises, 4 Fl Oz","B07F96Z4KK","https://www.amazon.com/dp/B07F96Z4KK?psc=1","https://m.media-amazon.com/images/I/71HZpg14YvL._SX522_.jpg","Miracle Plus",14.99,103,28,"N/A","2,267.27",405.8,191,"59,633","US",6.2,2,4.3,"2,202",9,"N/A","Pure Valley","Health & Household","Large Standard-Size","FBA","6.42 x 1.50 x 2.48 in",0.29,"N/A","Jul 11, 2018",,"No",91,"Pure Valley"
59.,"L’EUDINE Arnica Bruise Gel - Arnica Gel Maximum Strength for Bruising and Swelling - Fast Absorbing Bruise Cream for Treating Muscle Soreness - Natural Formula, 8 Fl Oz","B09RKN66LY","https://www.amazon.com/dp/B09RKN66LY?psc=1","https://m.media-amazon.com/images/I/71I84p0qJ6L._AC_SX569_.jpg","L'eudine",17.99,98,85,"N/A","2,140.77","1,527.47",168,"121,159","US",7.13,3,4.6,75,7,0,"Leudine - USA","Health & Household","Large Standard-Size","FBA","8.27 x 1.93 x 2.80 in",0.57,"N/A","Jan 31, 2022",,"No",49,"Leudine - USA"
45.,"Nelsons Arnicare, Arnica Cream, Homeopathic Remedies, for Bruise Relief, Apply to Skin, Suitable for Adults, The Elderly & Children, 50 gr","B0013GAQQI","https://www.amazon.com/dp/B0013GAQQI?psc=1","https://m.media-amazon.com/images/I/713r7xrVGfL._AC_SY355_.jpg","Arnicare",14.45,74,74,50,"1,074.33","1,073.46",138,"135,110","US",3.73,11,4.5,"10,694",7,18,"BEYONDTRENDUSA","Health & Household","Large Standard-Size","FBA","5.59 x 1.46 x 2.68 in",0.18,"N/A","Aug 7, 2012",,"No",162,"BEYONDTRENDUSA"
68.,"Pili Arnica Cream Hydrating Moisturizer for Face & Body. Soothes Bruised, Dry & Irritated Skin. Fast-Absorbing, Non-Greasy, Unscented. 1 oz","B06WLQ8K9N","https://www.amazon.com/dp/B06WLQ8K9N?psc=1","https://m.media-amazon.com/images/I/71v1ur8NwfL._SY450_.jpg","Pili Natural",7,50,50,"N/A",351.85,351.69,139,"198,107","US",3.47,2,4.3,151,9,0,"Naturistika LLC","Beauty & Personal Care","Large Standard-Size","FBA","1.81 x 1.81 x 1.81 in",0.04,"N/A","Feb 18, 2017",,"No",108,"Naturistika LLC"
64.,"Kototo Arnica Gel for Bruising (4.2 Oz), Fast Relief for Bruises, Swelling & Discomfort, Natural Arnica Bruise Cream with Vitamin K & Herbal Extracts, Soothing Gel for Muscle & Joint","B0FJXZFW6J","https://www.amazon.com/dp/B0FJXZFW6J?psc=1","https://m.media-amazon.com/images/I/71Hta-9tRxL._AC_SX569_.jpg","Kototo",9.99,40,40,"N/A",399.84,399.31,182,"99,538","CN",4.19,1,5,2,3,0,"Bazewa","Health & Household","Large Standard-Size","FBA","2.83 x 2.52 x 2.72 in",0.37,"N/A","Jul 25, 2025",,"No",7,"Bazewa"
54.,"ZAX'S ORIGINAL Bruise Cream - Arnica and Witch Hazel Blend, Gentle on Skin, Plant-Based Ingredients for Skin Care - 28g","B00II2FF3E","https://www.amazon.com/dp/B00II2FF3E?psc=1","https://m.media-amazon.com/images/I/81yJlva7XQL._AC_SY355_.jpg","ZAX'S ORIGINAL",22.98,36,36,"N/A",818.38,817.91,119,"155,081","US",7.18,1,4.2,"1,454",8,1,"Treehouse Premium Brands","Health & Household","Large Standard-Size","FBA","5.04 x 1.26 x 2.05 in",0.09,"N/A","Feb 17, 2014",,"No",144,"Treehouse Premium Brands"
58.,"Arnica Bruise Cream Extra Strength – Fast Healing Arnica Cream for Thin Skin, Swelling & Discoloration – Vitamin K, C & E Infused Formula for Sensitive, Aging, or Post-Procedure Skin (4 oz)","B0FKR7FR2V","https://www.amazon.com/dp/B0FKR7FR2V?psc=1","https://m.media-amazon.com/images/I/81q-7r8IKiL._SX466_.jpg","Qanoreth",15.99,19,19,"N/A",313.15,312.82,189,"179,017","CN",6.35,1,4.5,4,6,3,"Rongzhensheng","Beauty & Personal Care","Large Standard-Size","FBA","3.03 x 2.13 x 3.03 in",0.35,"N/A","Aug 1, 2025",,"No",6,"Rongzhensheng"
55.,"Arnica Bruise Cream Extra Strength, Fast-Acting for Bruising & Swelling on Thin Skin - Advanced Formula with Arnica Montana Vitamin K C & E - Soothing Hydrating for Face and Body","B0FRMS7Z4C","https://www.amazon.com/dp/B0FRMS7Z4C?psc=1","https://m.media-amazon.com/images/I/61jON6fYM2L._SX466_.jpg","TQIUH",17.98,14,14,"N/A",257.75,257.49,178,"313,516","CN",6.62,1,3.9,7,7,0,"Primal Viking(7-15 Days)","Beauty & Personal Care","Large Standard-Size","FBA","2.68 x 2.52 x 2.64 in",0.33,"N/A","Sep 18, 2025",,"No",5,"Primal Viking(7-15 Days)"
38.,"Arnica Bruise Cream, Advanced Formula Arnica Cream for Bruising and Swelling with Plant Extract, for Thin Skin on Face and Body 4 oz","B0G4PP6NVF","https://www.amazon.com/dp/B0G4PP6NVF?psc=1","https://m.media-amazon.com/images/I/71Ihg02sTdL._SY450_.jpg","Auensten",12.99,9,9,"N/A",116.91,116.8,132,"336,587","CN",6.67,1,5,4,7,0,"Joyhomer","Beauty & Personal Care","Large Standard-Size","FBA","2.76 x 2.05 x 2.72 in",0.31,"N/A","Feb 4, 2026",,"No",0,"Joyhomer"
66.,"Arnica Cream for Bruising and Swelling & Body Muscle Relief, Soothing Hydrating Formula with Magnesium and Vitamins K, C & E, Suitable for Thin and Sensitive Skin for All Ages, 4 Oz","B0G4VX1PRF","https://www.amazon.com/dp/B0G4VX1PRF?psc=1","https://m.media-amazon.com/images/I/61WAkpx4tRL._SX569_.jpg","XILRVON",16.99,7,2,"N/A",79.17,32.62,181,"95,431","N/A",6.5,1,4.6,13,7,0,"Meizi Cloud Store","Beauty & Personal Care","Large Standard-Size","FBA","2.95 x 2.24 x 2.91 in",0.35,"N/A","Jan 18, 2026",,"No",1,"Meizi Cloud Store"
70.,"LuxeJoie Bruise & Scar Cream with Arnica Montana + MSM, Fragrance Free Fast Absorbing Body Cream for Visible Marks, 4 oz","B09SYYXT7W","https://www.amazon.com/dp/B09SYYXT7W?psc=1","https://m.media-amazon.com/images/I/61SOGa0CNHL._SY450_.jpg","LuxeJoie",17.99,7,7,"N/A",138.54,138.44,120,"413,224","US",7.64,1,4.6,45,8,0,"LuxeJoie","Beauty & Personal Care","Large Standard-Size","FBA","2.68 x 2.60 x 2.64 in",0.37,"N/A","Mar 7, 2022",,"No",47,"LuxeJoie"
65.,"Morovan Arnica Bruise Cream for Bruising: Fast Bruise Relief in 1 Week for Sensitive Thin Skin - Reduces Swelling & Tenderness - 8.52 Oz Large Size","B0FSWF17JK","https://www.amazon.com/dp/B0FSWF17JK?psc=1","https://m.media-amazon.com/images/I/71sscSvWgYL._SX569_.jpg","Morovan",24.99,1,1,"N/A",24.99,24.95,147,"566,842","CN",9.17,1,4.8,29,7,0,"YiShun-US","Health & Household","Large Standard-Size","FBA","4.50 x 4.50 x 4.50 in",1.5,"N/A","Aug 18, 2025",,"No",6,"YiShun-US"